time,amount
12/15/2014,11138.00004
12/16/2014,11497.70489
12/17/2014,12476.30184
12/18/2014,13644.73532
12/19/2014,14790.33867
12/20/2014,14912.22299
12/21/2014,14131.55494
12/22/2014,13831.16785
12/23/2014,13325.33951
12/24/2014,11947.51433
12/25/2014,11686.91455
12/26/2014,10434.15128
12/27/2014,9606.168944
12/28/2014,8499.023104
12/29/2014,8042.380421
12/30/2014,7469.963113
12/31/2014,7254.771176
1/1/2015,7177.74905
1/2/2015,7750.563398
1/3/2015,7689.54755
1/4/2015,7278.534835
1/5/2015,7427.13636
1/6/2015,7759.407677
1/7/2015,7815.904338
1/8/2015,7773.904829
1/9/2015,7870.741767
1/10/2015,7559.748481
1/11/2015,6764.145764
1/12/2015,6766.268372
1/13/2015,6788.338522
1/14/2015,6837.41248
1/15/2015,6807.21175
1/16/2015,7351.156387
1/17/2015,7379.159663
1/18/2015,6899.443797
1/19/2015,6849.854459
1/20/2015,6824.592207
1/21/2015,6821.052399
1/22/2015,6838.287473
1/23/2015,7328.766472
1/24/2015,7301.643108
1/25/2015,6753.366614
1/26/2015,6732.865412
1/27/2015,6732.948944
1/28/2015,6775.438323
1/29/2015,6839.769769
1/30/2015,7433.546291
1/31/2015,7505.223984
2/1/2015,7048.925592
2/2/2015,7041.43698
2/3/2015,7000.583622
2/4/2015,6928.437065
2/5/2015,6884.404633
2/6/2015,7405.508245
2/7/2015,7486.24206
2/8/2015,7110.756655
2/9/2015,7247.215555
2/10/2015,7512.288093
2/11/2015,7676.030289
2/12/2015,7917.608807
2/13/2015,8320.218322
2/14/2015,8371.775263
2/15/2015,7993.835182
2/16/2015,8346.898076
2/17/2015,8713.797273
2/18/2015,8593.421661
2/19/2015,8399.715679
2/20/2015,8433.901546
2/21/2015,8179.368149
2/22/2015,7510.837705
2/23/2015,7590.976878
2/24/2015,7770.230109
2/25/2015,7981.097395
2/26/2015,8053.800954
2/27/2015,8634.229672
2/28/2015,8512.994657
3/1/2015,7887.540349
3/2/2015,7758.588968
3/3/2015,7739.640511
3/4/2015,7799.639417
3/5/2015,7832.530129
3/6/2015,8461.201532
3/7/2015,8527.542512
3/8/2015,8074.664176
3/9/2015,7830.677632
3/10/2015,7603.3051
3/11/2015,7509.99102
3/12/2015,7706.957611
3/13/2015,8509.427092
3/14/2015,8687.566127
3/15/2015,8287.263601
3/16/2015,8344.130622
3/17/2015,8435.500521
3/18/2015,8452.817738
3/19/2015,8424.971159
3/20/2015,8791.794114
3/21/2015,8636.731045
3/22/2015,7965.89306
3/23/2015,7936.557932
3/24/2015,8027.058992
3/25/2015,8171.785127
3/26/2015,8248.402999
3/27/2015,8798.190382
3/28/2015,8785.925053
3/29/2015,8287.162562
3/30/2015,8253.014019
3/31/2015,8188.979419
4/1/2015,8066.44765
4/2/2015,7970.807595
4/3/2015,8451.003698
4/4/2015,8489.450196
4/5/2015,8062.066178
4/6/2015,8073.351641
4/7/2015,8034.594225
4/8/2015,7890.228506
4/9/2015,7838.865592
4/10/2015,8378.996665
4/11/2015,8465.241649
4/12/2015,7999.656095
4/13/2015,7995.374758
4/14/2015,8068.429544
4/15/2015,8101.653784
4/16/2015,8098.138178
4/17/2015,8473.292021
4/18/2015,8403.226418
4/19/2015,8067.689504
4/20/2015,8349.655362
4/21/2015,8652.699395
4/22/2015,8587.246195
4/23/2015,8412.129092
4/24/2015,8644.385846
4/25/2015,8633.97869
4/26/2015,8183.074289
4/27/2015,8371.148668
4/28/2015,8408.05699
4/29/2015,8546.245836
4/30/2015,8591.681559
5/1/2015,9179.103064
5/2/2015,9126.97175
5/3/2015,8618.413541
5/4/2015,8631.89839
5/5/2015,8642.8432
5/6/2015,8506.872217
5/7/2015,8290.660502
5/8/2015,8687.592596
5/9/2015,8864.075099
5/10/2015,8688.838094
5/11/2015,8798.783255
5/12/2015,8599.317054
5/13/2015,8283.631336
5/14/2015,8085.059432
5/15/2015,8508.640113
5/16/2015,8448.141043
5/17/2015,7902.200222
5/18/2015,7880.889679
5/19/2015,7885.857833
5/20/2015,7892.495339
5/21/2015,7958.367044
5/22/2015,8557.603426
5/23/2015,8686.731374
5/24/2015,8229.71873
5/25/2015,8270.319868
5/26/2015,8328.368121
5/27/2015,8516.061102
5/28/2015,8668.534526
5/29/2015,9201.177277
5/30/2015,9063.973878
5/31/2015,8637.050913
6/1/2015,8884.519491
6/2/2015,9128.435163
6/3/2015,8947.297928
6/4/2015,8663.830004
6/5/2015,9035.873528
6/6/2015,9229.253025
6/7/2015,8903.968493
6/8/2015,9017.835653
6/9/2015,9101.705444
6/10/2015,9131.633421
6/11/2015,9212.017273
6/12/2015,9765.90375
6/13/2015,10004.07063
6/14/2015,9659.962342
6/15/2015,9993.690008
6/16/2015,10243.36473
6/17/2015,10540.59762
6/18/2015,10355.94423
6/19/2015,10742.34901
6/20/2015,10524.36749
6/21/2015,10208.88858
6/22/2015,10231.41226
6/23/2015,10305.43854
6/24/2015,9911.022973
6/25/2015,9435.818553
6/26/2015,9363.283388
6/27/2015,9192.528586
6/28/2015,8393.940361
6/29/2015,8261.23506
